instance,policy,depth,ok,best_cut,avg_cut,best_ratio,avg_ratio,std_ratio,opt,avg_time_s,wall_s,error
bqp50-1,greedy(classical),0,True,1297.0,1297.0,0.6182078169685414,0.6182078169685414,0.0,2098.0,~0ms,0.0,
bqp50-1,random,1,True,880.0,613.3333333333334,0.8551379638439581,0.8234221376466856,0.024716670081707526,2098.0,796ms,8.29,
bqp50-1,random,2,True,1322.0,1005.6666666666666,0.9077069457659372,0.8700840469394228,0.02664064505046831,2098.0,1s 134ms,9.72,
bqp50-1,random,3,True,796.0,759.3333333333334,0.8451474785918173,0.8407865524896924,0.00312163331510138,2098.0,1s 481ms,14.26,
bqp50-1,modularity,1,True,1321.0,1305.6666666666667,0.9075880114176974,0.9057643514113543,0.001873818949904302,2098.0,996ms,11.12,
bqp50-1,modularity,2,True,1396.0,1244.6666666666667,0.9165080875356802,0.8985093561687282,0.01549416305575026,2098.0,1s 593ms,12.47,
bqp50-1,modularity,3,True,1168.0,1057.0,0.8893910561370124,0.8761893434823977,0.009345243235282219,2098.0,1s 900ms,12.04,
bqp50-1,kl,1,True,941.0,810.3333333333334,0.8623929590865842,0.8468522042499207,0.016373919211818955,2098.0,1s 547ms,10.82,
bqp50-1,kl,2,True,1091.0,866.3333333333334,0.88023311132255,0.8535125277513479,0.025154419395931715,2098.0,1s 889ms,12.65,
bqp50-1,kl,3,True,962.0,787.3333333333334,0.8648905803996194,0.844116714240406,0.014690625535069399,2098.0,2s 420ms,15.07,
bqp50-1,boundary,1,True,1348.0,1288.3333333333333,0.9107992388201712,0.9037028227085315,0.007950138215400124,2098.0,926ms,12.23,
bqp50-1,boundary,2,True,1624.0,1239.6666666666667,0.9436251189343482,0.8979146844275293,0.032737037930471564,2098.0,1s 296ms,11.47,
bqp50-1,boundary,3,True,1492.0,1217.3333333333333,0.9279257849666984,0.8952584839835077,0.023971951483650306,2098.0,1s 765ms,13.86,
bqp50-1,JointGenerator+Critic,1,True,1350.0,1292.6666666666667,0.9110371075166508,0.9042182048842372,0.0075629112525597295,2098.0,8s 3ms,30.32,
bqp50-2,greedy(classical),0,True,2991.0,2991.0,0.8079416531604539,0.8079416531604539,0.0,3702.0,~0ms,0.0,
bqp50-2,random,1,True,1982.0,1829.3333333333333,0.809776598097766,0.7928924279289243,0.016306502743036026,3702.0,780ms,8.71,
bqp50-2,random,2,True,2166.0,1948.0,0.8301260783012607,0.8060163680601636,0.0249672144374715,3702.0,1s 115ms,9.41,
bqp50-2,random,3,True,2219.0,1971.3333333333333,0.8359876133598761,0.8085969180859692,0.020006048446324667,3702.0,1s 497ms,11.14,
bqp50-2,modularity,1,True,2507.0,2320.3333333333335,0.8678389736783897,0.8471945734719458,0.016368392277431674,3702.0,1s 53ms,9.26,
bqp50-2,modularity,2,True,2513.0,2420.6666666666665,0.8685025436850254,0.8582909385829094,0.008398588235214034,3702.0,1s 574ms,11.17,
bqp50-2,modularity,3,True,2611.0,2424.3333333333335,0.8793408537934085,0.8586964535869646,0.016796205544724975,3702.0,2s 152ms,13.44,
bqp50-2,kl,1,True,2319.0,2118.0,0.8470471134704711,0.8248175182481751,0.017318155469354116,3702.0,1s 278ms,10.0,
bqp50-2,kl,2,True,2299.0,2257.6666666666665,0.8448352134483521,0.8402639534026396,0.004714109669880043,3702.0,1s 614ms,10.96,
bqp50-2,kl,3,True,2547.0,2293.0,0.8722627737226277,0.8441716434417165,0.021360587755820153,3702.0,1s 854ms,11.08,
bqp50-2,boundary,1,True,2445.0,2078.6666666666665,0.8609820836098209,0.8204674482046745,0.03443068675190193,3702.0,872ms,8.31,
bqp50-2,boundary,2,True,2541.0,2344.3333333333335,0.8715992037159921,0.8498488534984885,0.015389360525847058,3702.0,1s 209ms,9.39,
bqp50-2,boundary,3,True,2448.0,2442.3333333333335,0.8613138686131386,0.8606871636068716,0.0004633858692758067,3702.0,1s 654ms,12.47,
bqp50-2,JointGenerator+Critic,1,True,2072.0,2072.0,0.8197301481973015,0.8197301481973015,0.0,3702.0,7s 444ms,27.91,
be100.1,greedy(classical),0,True,10708.0,10708.0,0.5516175561508345,0.5516175561508345,0.0,19412.0,~0ms,0.0,
be100.1,random,1,True,11080.0,8635.0,0.911720455171537,0.8858150918607363,0.020756994892810538,19412.0,3s 394ms,15.32,
be100.1,random,2,True,10877.0,8392.666666666666,0.9095696213261003,0.8832475118843283,0.01931002941946224,19412.0,5s 303ms,21.25,
be100.1,random,3,True,7722.0,7410.0,0.8761416371765803,0.872835922103791,0.003956524455965426,19412.0,8s 397ms,30.61,
be100.1,modularity,1,True,11627.0,10421.0,0.9175160517895361,0.9047381916043312,0.009206050868080342,19412.0,3s 929ms,21.41,
be100.1,modularity,2,True,10595.0,9855.666666666666,0.9065817634718485,0.8987483489083371,0.007850062006074021,19412.0,6s 591ms,25.82,
